,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
ORC1,0,0,3.49637721393289,7.60360416329798,0,6.66988389862397,7.47860909963671,6.25236714331087,8.21490312929756
ORC5,1.63301075487405,0,0,8.72773409156441,0,6.46023454168909,7.23925535863019,7.62139898989119,7.65947202859293
PAK1IP1,5.99583056397953,0,6.60874245058603,9.3033405729609,0,8.9811023018969,8.6258506465129,8.84403817610835,9.1834588979321
PAPSS1,0,0,2.34365266547977,8.19903244537023,0,7.38352775464424,4.78037831454132,8.15363742256979,9.75906827131191
PARP1,3.48571480146584,6.61148322955231,8.82368683651491,9.55102569083998,0,10.1434164329349,9.32803503608841,10.1645667236156,10.377960969551
PARP2,0,0,7.29500322206618,8.52353595411787,0,7.00115906079994,6.4594144200095,7.60874407577663,7.76741003861377
PBK,0,0,0,9.55723818040966,0,0,7.08339935877038,7.53413298758414,3.44192672469699
PCMT1,0,0,8.01815461490778,9.52674097535852,5.39166225356274,8.32879102172619,10.1555195146612,8.70346783990386,9.14493226811442
PCNA,8.36013380643255,0,9.29001479600915,10.2900009232763,0,9.29988030207462,9.61384454380931,10.2210506141454,9.35918635429754
PDHA1,7.71207407334173,2.28622790551507,6.71615843335274,9.03893534280701,0,8.14165413028845,9.37173144440818,9.25287465895254,8.55269037492485
PDIA6,9.05015956943289,2.51704693418621,6.24288081407639,9.10454392936656,4.26126356358977,10.3719941531578,9.31496056242328,9.5827679581874,10.1717285233163
PEF1,0,0,5.74403334155058,7.50905136893002,0,5.81131459679197,6.95093885184163,7.25410556454544,7.20374178943561
PEX19,0,0,0,6.1478649833732,0,4.74148034453462,5.69763280294059,6.96702525182221,8.26366802701668
PFN2,8.33164115950844,1.03118470262323,7.81067988632893,9.97840871498701,10.9783234645398,8.59206314868289,0,4.2954180057053,9.18789854546263
PGD,11.6855003594478,1.24164332246753,5.89498975775024,9.12280392552635,0,8.9811023018969,9.64722238729505,9.48876878622939,9.79259393140513
PGM2,0,0,0,7.87713034543642,0,4.94944033848444,5.16261037346891,7.43646260593682,6.75412179600614
PHACTR2,7.99048000407752,0,5.9731774877588,6.91519767089959,8.49215216584097,11.2073770147764,8.56993821612156,0.780242709144837,10.4785688090852
PHGDH,2.97267387592644,0,5.56577479492306,6.6650985317822,0,9.34434620597592,0,0,9.34588420565384
PIGT,0,0,0,8.09208410606521,0,5.6442178686477,6.74014872442285,6.79759494228713,7.64909421651573
PITPNB,1.75281113343082,2.80316570947108,8.839312834299,8.95585408311996,0,8.36596868411265,6.7973783132049,9.14355402261074,8.88038079456436
PLEK,0,9.71076192642538,0,0,0,0,0,11.4206507627023,0
PLP2,7.19332669015768,0,0,8.48924035792512,0,0,6.93377215911193,6.82854681744598,0
PLRG1,5.76813232901349,0,5.50616954154969,9.12313313857336,0,8.23183613831174,7.08017094333733,8.72813537609773,9.06862829961546
PMAIP1,0,8.00904381451871,7.16219146703193,8.55169443724702,3.80888029981484,9.51753311735532,5.07674378892155,8.92487146950098,8.70386406338645
PODXL,0,0,0,2.08228657029935,0,9.80846220562293,0,0,9.3776942294826
POLR3G,0,0,3.54552025308974,8.57211015287655,0,10.0612859891052,6.24719441857439,6.22205267374249,9.48427342006418
PON2,12.0580233475352,8.39601017049961,0,7.95631311817008,2.57372238244018,7.64984307254399,3.29633215943538,7.90651804123769,7.61015906187984
PPAT,1.58438237089377,0,6.20793048890397,9.54366765433384,0,9.34131498011353,7.84017413053975,8.41971670589552,9.00233148636402
PPIL1,0,0,3.878586953512,8.04775111689735,1.55823034457656,7.71663070404452,7.48520545511945,8.05608890505538,8.86259870359596
PPP2R1A,3.34794393699485,0,4.70916078261485,9.36908280029034,4.83451855327036,8.47467195268593,7.64343279010274,8.48817405015553,9.16972895528022
PPP6C,0,0,5.97066971953378,8.19282140617174,0,7.20730858122302,7.72597485075901,8.31760533301192,8.26442680301189
PPT1,2.07023980288972,1.34337842217918,6.05475275608937,8.98500120950461,0,9.54360640049247,8.80235530181115,9.10182138357023,10.7025254186175
PRAME,6.86435139361235,0,3.61210533030376,6.62367045946367,0,0,12.3109251711128,0,0
PRC1,0,0,7.59784577605854,9.28285130001895,0,4.94995223417844,7.71560545734451,6.56738487499395,6.89474541619314
PRDX2,0,6.31066359501737,6.30396059044965,9.50895990888275,8.0290586272818,9.53061246831774,9.58774146413384,8.22428572557481,9.60196970525528
PRIM1,0,0,4.19201428124391,7.89642030435046,0,7.30928866084016,6.52362179748645,6.56494529962509,8.04824318859158
PRKCB,0,7.29766057905966,0,0,0,0,8.25634072523048,8.7827122298624,0.959704604846008
PRMT5,1.50248288079276,0,5.89498975775024,9.54266761238826,0,7.04539855687539,8.67966172486455,8.47899084522867,8.46193223496799
